IP_ADDRESS,ACI_POD_ID,ACI_NODE_ID,TENANT_NAME,APPLICATION_NAME,MACRO_SEGMENTATION_ZONE
176.16.0.1,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.2,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.3,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.4,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.5,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.6,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.7,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.8,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.9,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.10,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.11,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.12,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.13,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.14,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.15,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.16,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.17,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.18,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.19,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.20,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.21,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.22,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.23,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.24,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.25,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.26,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.27,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.28,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.29,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.30,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.31,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.32,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.33,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.34,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.35,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.36,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.37,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.38,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.39,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.40,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.41,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.42,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.43,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.44,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.45,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.46,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.47,OPEN,OPEN,OPEN,OPEN,OPEN
176.16.0.48,OPEN,OPEN,OPEN,OPEN,OPEN
